Cadmium mättad 1s, 2 average
Integration time [ms]: 1000,000
Averaging Nr. [scans]: 2
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804349U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

318,182;   99,000;  -10,500;    0,000
318,201;  103,500;  100,000;    0,000
318,220;  551,500;  378,000;    0,000
318,240;  435,500;  358,000;    0,000
318,259;  -94,500; -136,500;    0,000
318,278;  256,500;  162,500;    0,000
318,297;  433,000;  379,500;    0,000
318,317;  122,000;   43,000;    0,000
318,336;  197,500;   44,500;    0,000
318,355;  215,000;  107,500;    0,000
318,374;  483,000;  387,000;    0,000
318,393; -188,500; -315,500;    0,000
318,413;   25,500; -110,500;    0,000
318,432;   16,000;  -72,000;    0,000
318,451;   92,000;   25,500;    0,000
318,470; -248,500; -279,500;    0,000
318,489; -433,500; -441,000;    0,000
318,509;   22,500;  -75,500;    0,000
318,528;  173,500;  128,000;    0,000
318,547;  639,000;  584,500;    0,000
318,566;  228,500;  154,000;    0,000
318,585; -108,500; -184,000;    0,000
318,604;  -52,500; -166,000;    0,000
318,624; -108,500; -230,000;    0,000
318,643;  166,000;   82,000;    0,000
318,662;   88,000;   50,500;    0,000
318,681;   81,500;  -79,500;    0,000
318,700;  -28,500;  -91,500;    0,000
318,719;  125,000; -101,500;    0,000
318,739;  -63,000; -145,500;    0,000
318,758;  732,500;  576,000;    0,000
318,777;  603,500;  413,000;    0,000
318,796; -336,500; -478,000;    0,000
318,815;    0,500; -105,000;    0,000
318,834;  490,000;  330,000;    0,000
318,854;  394,500;  195,000;    0,000
318,873;  160,000;   -5,000;    0,000
318,892;  308,500;  164,000;    0,000
318,911;  117,000; -151,000;    0,000
318,930;  379,000;  183,000;    0,000
318,949;  119,500;  -29,500;    0,000
318,968;   45,000; -125,500;    0,000
318,987;  303,500;  131,500;    0,000
319,007;  -87,500; -170,000;    0,000
319,026;  354,000;  187,500;    0,000
319,045;  -36,500; -246,000;    0,000
319,064;  800,000;  658,000;    0,000
319,083;  424,000;  347,500;    0,000
319,102;  195,500;   45,500;    0,000
319,121;  -51,000; -170,500;    0,000
319,140;   79,500;  -91,000;    0,000
319,160;  889,000;  701,000;    0,000
319,179;  -61,500; -153,500;    0,000
319,198;   95,000;  -65,500;    0,000
319,217;  444,000;  230,500;    0,000
319,236; -393,500; -497,000;    0,000
319,255; -195,000; -341,000;    0,000
319,274;  143,500;   47,000;    0,000
319,293;    5,000; -110,000;    0,000
319,312;  395,000;  224,000;    0,000
319,331;  129,000;  -72,000;    0,000
319,350;  356,500;  212,000;    0,000
319,370;  178,500;   51,500;    0,000
319,389;  330,500;  272,500;    0,000
