Cadmium 200ms, 2 average
Integration time [ms]: 200,000
Averaging Nr. [scans]: 2
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804349U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

318,182;  109,000;   -0,753;    0,000
318,201;   61,500;   -2,247;    0,000
318,220;  114,500;    0,323;    0,000
318,240;   71,500;    1,203;    0,000
318,259;  -54,000;    1,133;    0,000
318,278;  133,000;   -1,533;    0,000
318,297;  108,000;   -0,023;    0,000
318,317;   32,500;   -0,907;    0,000
318,336;   95,000;    0,537;    0,000
318,355;   62,500;    3,110;    0,000
318,374;   95,500;    2,613;    0,000
318,393;  -52,500;   -1,293;    0,000
318,413;    0,500;   -1,567;    0,000
318,432;   32,000;   -1,430;    0,000
318,451;   13,500;   -2,723;    0,000
318,470;  -95,500;   -5,040;    0,000
318,489; -100,000;   -2,993;    0,000
318,509;   13,500;    1,737;    0,000
318,528;    3,500;    0,303;    0,000
318,547;   96,500;    2,007;    0,000
318,566;  163,500;    5,530;    0,000
318,585;   36,500;    1,813;    0,000
318,604;  -29,000;    0,173;    0,000
318,624;  -48,000;   -0,680;    0,000
318,643;   94,500;    0,860;    0,000
318,662;   40,000;    2,480;    0,000
318,681;   -2,500;   -3,607;    0,000
318,700;  -43,000;   -0,380;    0,000
318,719;    2,500;    4,880;    0,000
318,739;   46,000;    2,410;    0,000
318,758;  135,000;   -1,610;    0,000
318,777;   93,000;    4,677;    0,000
318,796;  -98,000;    0,207;    0,000
318,815;   32,000;   -3,820;    0,000
318,834;  118,000;    2,590;    0,000
318,854;   25,000;    0,787;    0,000
318,873;   17,000;    2,943;    0,000
318,892;   89,500;    3,063;    0,000
318,911;  -40,000;    1,663;    0,000
318,930;   80,500;   -0,570;    0,000
318,949;  147,000;   -2,497;    0,000
318,968;  -53,000;   -2,583;    0,000
318,987;   62,000;    5,300;    0,000
319,007;    2,500;   -2,347;    0,000
319,026;  113,500;    2,753;    0,000
319,045;   11,000;    0,013;    0,000
319,064;  153,000;   -1,573;    0,000
319,083;   31,500;   -0,623;    0,000
319,102;   77,500;   -0,713;    0,000
319,121;  -45,000;    2,823;    0,000
319,140;   -1,500;   -1,853;    0,000
319,160;  101,000;    1,133;    0,000
319,179;    2,000;   -0,670;    0,000
319,198;    5,000;   -2,713;    0,000
319,217;   45,000;   -2,363;    0,000
319,236; -122,500;   -3,660;    0,000
319,255;  -43,000;   -2,893;    0,000
319,274;  168,500;    1,303;    0,000
319,293;  -52,000;   -2,317;    0,000
319,312;  109,000;    1,490;    0,000
319,331;  109,000;    0,543;    0,000
319,350;  159,000;    8,197;    0,000
319,370;   59,500;    0,573;    0,000
319,389;   62,500;   -0,450;    0,000
319,408;  -29,500;    1,470;    0,000
319,427;   61,000;   -1,967;    0,000
319,446;  104,500;   -3,470;    0,000
319,465;   39,500;   -0,463;    0,000
319,484;   69,500;    1,147;    0,000
319,503;    1,500;    2,073;    0,000
319,522;   58,500;    0,387;    0,000
319,541;  151,500;   -0,813;    0,000
319,560;   57,000;    5,597;    0,000
319,579;  160,000;    4,717;    0,000
319,598;   69,000;    0,540;    0,000
319,617;  -17,000;   -1,603;    0,000
319,637;   20,000;   -0,737;    0,000
319,656;  -23,000;   -5,153;    0,000
319,675;   52,000;    1,413;    0,000
319,694;   53,000;   -0,397;    0,000
319,713;  -19,500;   -5,897;    0,000
319,732;  -53,500;    0,760;    0,000
319,751;   34,500;   -0,920;    0,000
319,770;  113,500;   -2,377;    0,000
319,789;   74,500;    0,663;    0,000
319,808;   42,000;    2,137;    0,000
319,827;   87,500;    2,460;    0,000
319,846;  -60,000;   -1,063;    0,000
319,865;  -40,000;    0,207;    0,000
319,884;  -33,500;   -1,577;    0,000
