Cadmium omättad 5,5ms, 300 average
Integration time [ms]:   5,500
Averaging Nr. [scans]: 300
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804349U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

318,182;    0,997;   -0,753;    0,000
318,201;    1,677;   -2,247;    0,000
318,220;   -0,877;    0,323;    0,000
318,240;    5,540;    1,203;    0,000
318,259;   -5,770;    1,133;    0,000
318,278;    5,340;   -1,533;    0,000
318,297;   -0,360;   -0,023;    0,000
318,317;    2,107;   -0,907;    0,000
318,336;    5,353;    0,537;    0,000
318,355;    1,653;    3,110;    0,000
318,374;    1,987;    2,613;    0,000
318,393;    0,333;   -1,293;    0,000
318,413;   -3,013;   -1,567;    0,000
318,432;    0,777;   -1,430;    0,000
318,451;   -3,170;   -2,723;    0,000
318,470;    2,080;   -5,040;    0,000
318,489;   -1,827;   -2,993;    0,000
318,509;    4,243;    1,737;    0,000
318,528;   -2,333;    0,303;    0,000
318,547;    3,243;    2,007;    0,000
318,566;   -0,927;    5,530;    0,000
318,585;    2,883;    1,813;    0,000
318,604;    0,867;    0,173;    0,000
318,624;    1,913;   -0,680;    0,000
318,643;   -0,270;    0,860;    0,000
318,662;    4,580;    2,480;    0,000
318,681;   -1,803;   -3,607;    0,000
318,700;    4,613;   -0,380;    0,000
318,719;   -0,143;    4,880;    0,000
318,739;    1,660;    2,410;    0,000
318,758;    4,563;   -1,610;    0,000
318,777;   -2,010;    4,677;    0,000
318,796;   -3,443;    0,207;    0,000
318,815;    1,897;   -3,820;    0,000
318,834;    3,757;    2,590;    0,000
318,854;    4,200;    0,787;    0,000
318,873;    2,680;    2,943;    0,000
318,892;    0,897;    3,063;    0,000
318,911;    0,420;    1,663;    0,000
318,930;   -0,010;   -0,570;    0,000
318,949;    0,950;   -2,497;    0,000
318,968;    2,747;   -2,583;    0,000
318,987;   -0,187;    5,300;    0,000
319,007;   -0,533;   -2,347;    0,000
319,026;    0,853;    2,753;    0,000
319,045;    1,317;    0,013;    0,000
319,064;   -0,597;   -1,573;    0,000
319,083;    2,950;   -0,623;    0,000
319,102;    2,733;   -0,713;    0,000
319,121;    0,960;    2,823;    0,000
319,140;    1,027;   -1,853;    0,000
319,160;    4,687;    1,133;    0,000
319,179;   -1,807;   -0,670;    0,000
319,198;    3,843;   -2,713;    0,000
319,217;   -0,120;   -2,363;    0,000
319,236;    2,810;   -3,660;    0,000
319,255;   -5,150;   -2,893;    0,000
319,274;    2,300;    1,303;    0,000
319,293;   -1,827;   -2,317;    0,000
319,312;    4,810;    1,490;    0,000
319,331;    0,050;    0,543;    0,000
319,350;    1,767;    8,197;    0,000
319,370;    0,050;    0,573;    0,000
319,389;    1,097;   -0,450;    0,000
319,408;   -0,787;    1,470;    0,000
319,427;    1,460;   -1,967;    0,000
319,446;    6,943;   -3,470;    0,000
319,465;    4,607;   -0,463;    0,000
319,484;   -0,460;    1,147;    0,000
319,503;    2,013;    2,073;    0,000
319,522;    0,060;    0,387;    0,000
319,541;    6,180;   -0,813;    0,000
319,560;    1,020;    5,597;    0,000
319,579;    8,110;    4,717;    0,000
319,598;    2,290;    0,540;    0,000
319,617;   -0,393;   -1,603;    0,000
319,637;   -3,503;   -0,737;    0,000
319,656;    3,893;   -5,153;    0,000
319,675;    4,070;    1,413;    0,000
319,694;    2,403;   -0,397;    0,000
319,713;   -3,193;   -5,897;    0,000
319,732;    3,663;    0,760;    0,000
319,751;    1,540;   -0,920;    0,000
319,770;    4,937;   -2,377;    0,000
319,789;    1,930;    0,663;    0,000
319,808;    3,490;    2,137;    0,000
319,827;    2,090;    2,460;    0,000
319,846;   -2,940;   -1,063;    0,000
319,865;    1,663;    0,207;    0,000
319,884;    3,663;   -1,577;    0,000
319,903;    1,250;    5,140;    0,000
319,922;    2,793;   -0,613;    0,000
319,941;    4,643;    2,870;    0,000
319,960;    2,157;    1,577;    0,000
319,979;   -0,297;   -0,177;    0,000
319,998;    2,980;    0,520;    0,000
320,017;    4,233;    3,460;    0,000
320,036;    3,117;   -0,583;    0,000
320,055;    1,557;    0,580;    0,000
320,074;   -0,453;    3,370;    0,000
320,093;    4,213;    3,377;    0,000
320,112;    2,770;    2,277;    0,000
320,131;   -2,750;    0,123;    0,000
320,150;    1,190;   -4,103;    0,000
320,169;   -1,787;    5,170;    0,000
320,188;    3,407;    3,450;    0,000
320,207;    3,523;    0,050;    0,000
320,226;    4,593;   -4,873;    0,000
320,245;    3,570;   -2,223;    0,000
320,264;    0,347;   -1,943;    0,000
320,283;    0,197;   -0,283;    0,000
320,302;    1,697;   -0,687;    0,000
320,321;    0,953;   -3,197;    0,000
320,340;    1,053;   -0,923;    0,000
320,359;   -1,597;    0,920;    0,000
320,378;    0,083;   -1,787;    0,000
320,397;   -3,327;    0,957;    0,000
320,416;   -3,540;   -3,613;    0,000
320,435;    1,367;   -2,497;    0,000
320,454;   -0,490;   -1,390;    0,000
320,472;    1,247;    0,433;    0,000
320,491;   -1,543;    2,520;    0,000
320,510;    4,207;   -0,873;    0,000
320,529;    4,437;   -1,273;    0,000
320,548;    0,100;    3,960;    0,000
320,567;    4,807;    0,083;    0,000
320,586;    3,447;    1,907;    0,000
320,605;    2,360;   -5,977;    0,000
320,624;   -0,257;   -2,253;    0,000
320,643;    0,577;    1,660;    0,000
320,662;    4,720;   -5,427;    0,000
320,681;    6,700;   -0,363;    0,000
320,700;    9,047;   -0,143;    0,000
320,719;   10,983;    1,627;    0,000
320,738;    6,663;    1,707;    0,000
320,756;    0,967;    4,030;    0,000
320,775;    3,103;    3,420;    0,000
320,794;    0,347;    1,900;    0,000
320,813;    3,223;   -2,173;    0,000
320,832;    1,500;    0,283;    0,000
320,851;    3,320;   -1,103;    0,000
320,870;    3,133;    2,243;    0,000
320,889;    4,983;    1,113;    0,000
320,908;    2,373;   -3,827;    0,000
320,927;    2,273;    0,897;    0,000
320,945;    0,373;    1,450;    0,000
320,964;    0,807;   -2,460;    0,000
320,983;    1,817;   -0,867;    0,000
321,002;   -0,653;   -0,040;    0,000
321,021;    5,897;   -1,627;    0,000
321,040;   -0,373;   -0,997;    0,000
321,059;    1,580;   -0,597;    0,000
321,078;   -1,743;   -0,723;    0,000
321,097;   -0,927;   -2,140;    0,000
321,115;    2,967;    1,857;    0,000
321,134;    3,900;    4,263;    0,000
321,153;   -0,093;    0,937;    0,000
321,172;   -0,557;    3,163;    0,000
321,191;    2,357;    2,193;    0,000
321,210;    2,360;   -1,597;    0,000
321,229;    2,853;    0,710;    0,000
321,247;    4,213;   -3,507;    0,000
321,266;    4,357;    0,550;    0,000
321,285;   -2,113;   -4,607;    0,000
321,304;    7,373;    3,750;    0,000
321,323;   -0,177;   -1,467;    0,000
321,342;    3,130;    0,840;    0,000
321,361;    3,113;    2,420;    0,000
321,379;    4,577;    3,387;    0,000
321,398;    5,187;    1,747;    0,000
321,417;    3,757;   -2,323;    0,000
321,436;    6,100;   -1,510;    0,000
321,455;   -1,107;    3,437;    0,000
321,474;    5,577;   -0,153;    0,000
321,492;    3,457;    0,470;    0,000
321,511;    1,870;   -5,360;    0,000
321,530;    0,990;   -3,447;    0,000
321,549;    3,173;   -1,923;    0,000
321,568;    4,217;    2,417;    0,000
321,586;    1,360;   -2,597;    0,000
321,605;   -2,773;   -5,543;    0,000
321,624;    2,137;   -3,197;    0,000
321,643;    4,700;    1,680;    0,000
321,662;    4,493;    1,437;    0,000
321,680;    1,833;    4,487;    0,000
321,699;    2,817;    0,067;    0,000
321,718;    0,277;    2,310;    0,000
321,737;    4,317;    0,087;    0,000
321,756;    3,540;    1,080;    0,000
321,774;    5,703;    0,913;    0,000
321,793;    0,037;   -4,460;    0,000
321,812;   -0,073;    2,717;    0,000
321,831;    0,847;   -1,963;    0,000
321,850;    4,853;    3,267;    0,000
321,868;    1,577;   -0,643;    0,000
321,887;    0,963;   -4,953;    0,000
321,906;    3,307;    1,540;    0,000
321,925;    5,693;    3,600;    0,000
321,943;   -0,763;   -1,853;    0,000
321,962;    5,013;   -5,723;    0,000
321,981;    4,630;    1,203;    0,000
322,000;   -0,067;   -1,587;    0,000
322,018;    5,103;    0,060;    0,000
322,037;    3,577;   -1,903;    0,000
322,056;    3,503;    0,317;    0,000
322,075;    2,143;    0,377;    0,000
322,093;    0,627;    0,143;    0,000
322,112;    2,400;    0,210;    0,000
322,131;    0,213;    0,960;    0,000
322,150;    5,147;    0,877;    0,000
322,168;    2,253;    0,240;    0,000
322,187;    4,030;    1,200;    0,000
322,206;   -3,897;   -1,600;    0,000
322,225;    3,963;    0,733;    0,000
322,243;    3,487;    0,750;    0,000
322,262;    4,300;   -0,743;    0,000
322,281;   -0,960;    0,827;    0,000
322,300;    0,980;   -0,347;    0,000
322,318;   -3,703;    2,153;    0,000
322,337;    4,640;    1,627;    0,000
322,356;    0,337;    1,573;    0,000
322,374;    6,690;    2,067;    0,000
322,393;    3,253;    0,043;    0,000
322,412;    7,640;    1,470;    0,000
322,431;   -0,267;   -0,237;    0,000
322,449;    1,310;   -0,317;    0,000
322,468;    4,680;    3,897;    0,000
322,487;    5,377;   -0,813;    0,000
322,505;    1,433;    3,573;    0,000
322,524;    9,887;   -2,470;    0,000
322,543;   -2,107;    2,297;    0,000
322,561;    1,830;    2,750;    0,000
322,580;    3,170;   -3,443;    0,000
322,599;    7,000;    1,257;    0,000
322,618;    3,720;    1,663;    0,000
322,636;    4,753;    2,750;    0,000
322,655;    4,827;    2,163;    0,000
322,674;    3,280;   -2,753;    0,000
322,692;    4,913;    2,267;    0,000
322,711;    4,757;   -1,727;    0,000
322,730;   -1,787;    0,117;    0,000
322,748;   -0,630;   -3,350;    0,000
322,767;    4,153;    2,167;    0,000
322,786;    7,423;    0,870;    0,000
322,804;    2,463;    0,170;    0,000
322,823;   -1,293;   -1,720;    0,000
