Kadmiummättad It:60 average:10
Integration time [ms]:  60,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

318,006;  -21,900;    7,673;    0,000
318,025;   25,400;    6,920;    0,000
318,044;   -2,200;    6,463;    0,000
318,063;   -4,000;  -11,547;    0,000
318,082;   28,600;    7,347;    0,000
318,102;    9,400;    0,680;    0,000
318,121;   18,300;    8,263;    0,000
318,140;  -11,500;   -5,023;    0,000
318,159;   42,900;   18,150;    0,000
318,179;  -16,800;   -7,563;    0,000
318,198;   21,600;   14,327;    0,000
318,217;   70,600;   24,093;    0,000
318,236;   11,900;   -2,427;    0,000
318,255;  -15,800;   -8,807;    0,000
318,274;    9,800;   12,650;    0,000
318,294;  -20,600;  -15,940;    0,000
318,313;   63,600;   35,100;    0,000
318,332;   -7,800;   -3,680;    0,000
318,351;   43,800;   15,857;    0,000
318,370;  -21,500;  -11,390;    0,000
318,390;   -1,900;  -11,103;    0,000
318,409;  -11,000;    1,293;    0,000
318,428;   12,700;    1,613;    0,000
318,447;   18,200;   -4,850;    0,000
318,466;  -38,100;   -8,593;    0,000
318,485;  -31,700;  -15,897;    0,000
318,505;   43,500;    8,697;    0,000
318,524;  -26,800;  -11,680;    0,000
318,543;   34,800;   15,953;    0,000
318,562;  -17,100;   -5,913;    0,000
318,581;   12,000;    3,133;    0,000
318,600;   30,300;    4,917;    0,000
318,620;   42,000;   20,793;    0,000
318,639;  -45,500;  -15,693;    0,000
318,658;   33,200;   10,700;    0,000
318,677;  -24,000;   -3,943;    0,000
318,696;   30,500;    9,200;    0,000
318,715;  -24,100;  -21,603;    0,000
318,734;   -6,900;    0,017;    0,000
318,753;    6,200;    3,947;    0,000
318,773;    2,900;    5,673;    0,000
318,792;   -6,700;   -5,833;    0,000
318,811;   25,400;   13,733;    0,000
318,830;   18,400;   -8,307;    0,000
318,849;  -21,900;    6,513;    0,000
318,868;  -16,700;   -4,703;    0,000
318,887;   20,800;   -0,837;    0,000
318,906;   28,800;    4,573;    0,000
318,926;   41,800;   13,797;    0,000
318,945;   -2,500;   -7,523;    0,000
318,964;    6,000;    7,360;    0,000
318,983;   29,400;   -0,340;    0,000
319,002;   46,300;   10,870;    0,000
319,021;   -3,300;  -11,913;    0,000
319,040;   25,200;   10,583;    0,000
319,059;    1,700;    8,750;    0,000
319,078;   49,800;    9,433;    0,000
319,097;   38,000;   13,360;    0,000
319,117;   14,700;   -0,583;    0,000
319,136;    0,700;   -3,340;    0,000
319,155;  -16,600;    1,897;    0,000
319,174;   30,500;   17,857;    0,000
319,193;   11,900;    1,587;    0,000
319,212;   11,600;   -7,373;    0,000
319,231;    5,700;   -4,250;    0,000
319,250;   18,900;   -1,343;    0,000
319,269;   31,500;   17,250;    0,000
319,288;    6,900;   -4,133;    0,000
319,307;  -27,900;   -6,853;    0,000
319,326;   49,900;   20,510;    0,000
319,345;   18,800;   15,023;    0,000
319,364;   25,700;    1,323;    0,000
319,384;   62,300;   26,817;    0,000
319,403;   15,200;    3,640;    0,000
319,422;   79,100;   22,977;    0,000
319,441;   16,500;    2,183;    0,000
319,460;   35,300;   16,813;    0,000
319,479;   21,200;   -1,130;    0,000
319,498;   63,400;   18,597;    0,000
319,517;   37,000;   12,853;    0,000
319,536;   23,300;    9,223;    0,000
319,555;   -2,900;    0,017;    0,000
319,574;   17,300;   -0,933;    0,000
319,593;   36,200;    6,230;    0,000
319,612;   45,300;   18,037;    0,000
319,631;    0,200;   -7,033;    0,000
319,650;   50,100;   21,190;    0,000
319,669;   21,200;   -8,360;    0,000
319,688;   45,200;   22,780;    0,000
319,707;   -1,600;  -11,887;    0,000
319,726;   38,300;   11,727;    0,000
319,745;   -4,600;   -7,977;    0,000
319,764;   18,400;    3,427;    0,000
319,783;   55,600;   17,607;    0,000
319,802;  -32,300;  -14,717;    0,000
319,821;   24,200;    4,540;    0,000
319,840;   -5,500;   -6,450;    0,000
319,859;   96,600;   29,370;    0,000
319,878;   27,600;   16,163;    0,000
319,897;   25,500;   10,443;    0,000
319,916;   48,000;    8,143;    0,000
319,935;    0,500;   -3,403;    0,000
319,954;   26,400;   13,277;    0,000
319,973;   50,500;   21,757;    0,000
319,992;   31,600;   10,957;    0,000
320,011;   26,300;   -3,017;    0,000
320,030;   46,700;   11,343;    0,000
320,049;   17,300;   -1,110;    0,000
320,068;   15,800;    8,730;    0,000
320,087;    5,700;   -5,993;    0,000
320,106;   31,500;   17,377;    0,000
320,125;    8,700;    2,800;    0,000
320,144;    9,600;    5,983;    0,000
320,163;   20,600;    8,300;    0,000
320,182;   21,500;   10,670;    0,000
320,201;   13,700;    4,130;    0,000
320,220;   23,400;    5,470;    0,000
320,239;   24,200;    7,857;    0,000
320,257;   70,200;   31,813;    0,000
320,276;   45,100;    3,917;    0,000
320,295;  -21,300;    1,200;    0,000
320,314;    5,800;   -3,070;    0,000
320,333;   21,700;   15,310;    0,000
320,352;   19,300;   -0,437;    0,000
320,371;   15,600;   12,643;    0,000
320,390;    9,900;    0,503;    0,000
320,409;   31,600;    5,983;    0,000
320,428;  -26,500;  -12,617;    0,000
320,447;   -6,100;   -4,477;    0,000
320,466;    7,700;   -9,477;    0,000
320,485;   36,400;   13,317;    0,000
320,504;   16,200;   -5,307;    0,000
320,522;   23,700;    2,137;    0,000
320,541;   51,500;   12,480;    0,000
320,560;   21,200;   15,687;    0,000
320,579;   15,700;   -9,787;    0,000
320,598;   92,300;    4,547;    0,000
320,617;  117,100;  -10,377;    0,000
320,636;  189,300;   -0,293;    0,000
320,655;  217,300;   -5,610;    0,000
320,674;  216,400;   20,973;    0,000
320,693;   68,900;    7,557;    0,000
320,711;   44,600;    4,527;    0,000
320,730;   -3,600;  -10,633;    0,000
320,749;   48,300;   23,270;    0,000
320,768;   30,800;   12,980;    0,000
320,787;   26,300;   17,903;    0,000
320,806;  -27,800;  -13,183;    0,000
320,825;   41,200;   10,357;    0,000
320,844;   11,900;   -4,257;    0,000
320,862;  -11,100;   -4,110;    0,000
320,881;    8,900;    1,330;    0,000
320,900;   26,200;   16,770;    0,000
320,919;    8,500;  -11,713;    0,000
320,938;    2,300;    1,857;    0,000
320,957;   48,900;   10,887;    0,000
320,976;   64,100;   21,297;    0,000
320,994;   35,200;   -0,553;    0,000
321,013;  -21,500;   -5,350;    0,000
321,032;   23,700;   -3,253;    0,000
321,051;   61,100;   27,450;    0,000
321,070;   41,400;    6,133;    0,000
321,089;   62,000;   14,667;    0,000
321,108;  -34,600;  -16,620;    0,000
321,126;   22,600;    5,187;    0,000
321,145;   38,200;    1,110;    0,000
321,164;    4,900;   -4,930;    0,000
321,183;  -11,200;   -8,830;    0,000
321,202;   17,200;    3,273;    0,000
321,221;  -40,700;  -26,030;    0,000
321,239;  -18,300;   -5,180;    0,000
321,258;   36,200;    7,450;    0,000
321,277;   49,400;    8,570;    0,000
321,296;  -25,300;  -10,563;    0,000
321,315;   17,200;    5,937;    0,000
321,333;   42,000;   -2,507;    0,000
321,352;    6,100;   -4,803;    0,000
321,371;  -18,100;  -14,933;    0,000
321,390;   40,700;   15,627;    0,000
321,409;   29,700;   -2,493;    0,000
321,427;   19,100;    4,600;    0,000
321,446;   -1,400;   -6,220;    0,000
321,465;   53,400;   18,960;    0,000
321,484;  -25,100;  -13,160;    0,000
321,503;   73,000;   23,830;    0,000
321,521;   48,700;    4,520;    0,000
321,540;   14,900;    8,317;    0,000
321,559;   -9,600;  -13,793;    0,000
321,578;   15,800;   -9,120;    0,000
321,597;   26,000;   -7,767;    0,000
321,615;  -10,500;   -0,307;    0,000
321,634;    1,800;   -0,423;    0,000
321,653;   51,400;    9,120;    0,000
321,672;   20,000;   -7,427;    0,000
321,690;    0,000;   -2,123;    0,000
321,709;   18,000;  -10,393;    0,000
321,728;   44,700;    3,323;    0,000
321,747;    8,400;   -4,633;    0,000
321,765;   39,300;    6,183;    0,000
321,784;   24,100;    2,247;    0,000
321,803;   67,600;   22,530;    0,000
321,822;   63,000;   14,867;    0,000
321,840;   67,300;   20,130;    0,000
321,859;   49,500;    5,963;    0,000
321,878;   41,800;   23,170;    0,000
321,897;   44,800;   -2,643;    0,000
321,915;  -13,500;   -4,333;    0,000
321,934;   -5,500;   -1,817;    0,000
321,953;   28,900;   11,753;    0,000
321,972;    4,000;  -15,040;    0,000
321,990;   80,400;   25,577;    0,000
322,009;    4,900;   -8,447;    0,000
322,028;   57,200;   20,557;    0,000
322,046;   32,600;   -1,773;    0,000
322,065;   81,100;   15,143;    0,000
322,084;   20,500;   -0,077;    0,000
322,103;   17,700;   -5,277;    0,000
322,121;    6,200;   -9,963;    0,000
322,140;    1,400;   -6,327;    0,000
322,159;   29,200;    4,107;    0,000
322,177;   15,400;    0,960;    0,000
322,196;   -3,800;   -7,880;    0,000
322,215;   24,900;   -0,540;    0,000
322,234;    9,100;   -2,400;    0,000
322,252;   40,300;   15,187;    0,000
322,271;   47,900;   -1,050;    0,000
322,290;   27,100;    8,027;    0,000
322,308;   35,500;   -4,977;    0,000
322,327;   39,900;   15,433;    0,000
322,346;   33,100;    2,370;    0,000
322,364;    2,000;   -4,280;    0,000
322,383;   14,300;   -6,757;    0,000
322,402;   37,200;    3,230;    0,000
322,420;   20,800;   -7,877;    0,000
322,439;   41,100;   10,233;    0,000
322,458;    9,200;  -10,280;    0,000
322,476;   23,300;    0,153;    0,000
322,495;   17,500;   -6,783;    0,000
322,514;   51,800;    3,927;    0,000
322,532;   36,900;    9,830;    0,000
322,551;   52,400;   22,920;    0,000
322,570;   81,300;   13,187;    0,000
322,588;   56,100;   17,607;    0,000
322,607;   -0,400;   -1,717;    0,000
322,626;   20,800;   -5,763;    0,000
322,644;   57,100;   -1,457;    0,000
322,663;   51,800;   10,910;    0,000
322,681;   20,000;  -10,233;    0,000
322,700;   89,100;   21,323;    0,000
322,719;    2,800;   -8,433;    0,000
322,737;   60,900;    9,007;    0,000
322,756;   44,600;    1,007;    0,000
322,775;   11,600;   -6,640;    0,000
322,793;   -5,400;   -9,800;    0,000
322,812;   20,600;    7,297;    0,000
322,831;   19,200;   -4,213;    0,000
322,849;   35,100;    9,940;    0,000
322,868;   47,400;   -2,453;    0,000
322,886;   82,400;   11,033;    0,000
322,905;   52,400;   12,107;    0,000
322,924;   30,700;    2,503;    0,000
322,942;   -7,600;  -12,007;    0,000
322,961;   72,000;   18,873;    0,000
322,979;   47,100;   12,050;    0,000
322,998;   35,100;   -3,860;    0,000
323,017;   32,600;   -8,267;    0,000
323,035;   23,000;   -5,440;    0,000
323,054;   43,400;    2,780;    0,000
323,072;   72,700;    8,297;    0,000
323,091;   32,000;   -4,593;    0,000
323,110;   55,500;    4,050;    0,000
323,128;   76,000;   13,587;    0,000
323,147;   69,400;    7,557;    0,000
323,165;   83,300;    8,153;    0,000
323,184;  129,100;   31,337;    0,000
323,202;   70,700;   -0,077;    0,000
323,221;   57,300;    7,993;    0,000
323,240;   35,600;   -5,963;    0,000
323,258;  107,600;   28,250;    0,000
323,277;   54,800;  -12,367;    0,000
323,295;   92,300;   19,503;    0,000
323,314;   93,700;    1,957;    0,000
323,332;   77,000;   -1,027;    0,000
323,351;   63,200;   -9,710;    0,000
323,369;   91,700;    9,370;    0,000
323,388;   58,400;  -13,757;    0,000
323,407;  108,400;   18,343;    0,000
323,425;   50,000;   -5,157;    0,000
323,444;   78,000;   11,633;    0,000
323,462;   92,500;    1,930;    0,000
323,481;   83,800;   11,927;    0,000
323,499;   96,200;   13,590;    0,000
323,518;   71,400;   -1,067;    0,000
323,536;  118,700;   17,087;    0,000
323,555;   76,300;    7,787;    0,000
323,573;   52,000;   -9,820;    0,000
323,592;  121,200;   10,080;    0,000
323,610;   32,100;  -13,563;    0,000
323,629;  131,500;   18,117;    0,000
323,647;   44,500;  -11,017;    0,000
323,666;  112,600;    6,037;    0,000
323,684;   88,100;  -11,883;    0,000
323,703;  130,200;    9,903;    0,000
323,721;   89,700;   -5,790;    0,000
323,740;  156,300;   31,863;    0,000
323,758;  168,300;   30,943;    0,000
323,777;  141,900;    7,210;    0,000
323,795;   98,600;   -5,693;    0,000
323,814;  156,700;   16,883;    0,000
323,832;  105,700;   -4,337;    0,000
323,851;  178,500;   12,433;    0,000
323,869;  127,900;    0,183;    0,000
323,888;  160,900;   15,253;    0,000
323,906;  101,400;   -3,187;    0,000
323,925;  165,800;   22,667;    0,000
323,943;  134,100;   -1,803;    0,000
323,962;  149,000;   17,687;    0,000
323,980;  120,000;   -4,157;    0,000
323,999;  143,600;   -2,290;    0,000
324,017;  140,200;   -3,927;    0,000
324,036;  180,400;    5,453;    0,000
324,054;  139,300;   -5,307;    0,000
324,073;  245,000;   29,950;    0,000
324,091;  140,000;  -13,270;    0,000
324,109;  188,200;    1,797;    0,000
324,128;  196,100;   -6,497;    0,000
324,146;  229,300;   25,737;    0,000
324,165;  142,100;  -11,483;    0,000
324,183;  195,100;    9,750;    0,000
324,202;  205,500;    2,193;    0,000
324,220;  221,100;   -2,957;    0,000
324,239;  221,600;  -13,877;    0,000
324,257;  272,400;    5,890;    0,000
324,275;  383,200;   -5,790;    0,000
324,294;  371,300;  -10,560;    0,000
324,312;  315,900;    2,310;    0,000
324,331;  289,000;   -0,033;    0,000
324,349;  253,000;   -6,573;    0,000
324,368;  274,500;    2,197;    0,000
324,386;  236,400;   -7,260;    0,000
324,404;  313,800;   14,870;    0,000
324,423;  327,400;   -1,103;    0,000
324,441;  359,100;   19,927;    0,000
324,460;  323,500;   -4,107;    0,000
324,478;  314,900;    4,947;    0,000
324,496;  369,400;   20,720;    0,000
324,515;  308,200;    3,933;    0,000
324,533;  300,900;  -10,297;    0,000
324,552;  430,600;   32,477;    0,000
324,570;  442,500;   -4,223;    0,000
324,588;  521,900;   35,837;    0,000
324,607;  541,600;   -0,853;    0,000
324,625;  596,700;    0,010;    0,000
324,644;  619,500;    7,603;    0,000
324,662;  572,600;   18,927;    0,000
324,680;  513,900;   -9,363;    0,000
324,699;  595,400;   -2,947;    0,000
324,717;  647,300;   -5,643;    0,000
324,735;  738,300;    1,060;    0,000
324,754;  865,500;   -9,277;    0,000
324,772; 1047,500;   23,090;    0,000
324,791;  814,200;   -5,557;    0,000
324,809;  628,500;    2,347;    0,000
324,827;  700,100;   -7,777;    0,000
324,846;  706,800;   -5,043;    0,000
324,864;  811,700;    9,607;    0,000
324,882;  857,000;  -11,753;    0,000
324,901;  801,300;  -17,297;    0,000
324,919; 1005,600;    9,197;    0,000
