Kadmium omättad(mättad) It 30,000 average: 300
Integration time [ms]:  30,000
Averaging Nr. [scans]: 300
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

318,006;    8,043;    7,673;    0,000
318,025;   12,800;    6,920;    0,000
318,044;    7,983;    6,463;    0,000
318,063;  -11,747;  -11,547;    0,000
318,082;    7,497;    7,347;    0,000
318,102;   12,650;    0,680;    0,000
318,121;   11,060;    8,263;    0,000
318,140;    3,820;   -5,023;    0,000
318,159;   17,717;   18,150;    0,000
318,179;   -2,497;   -7,563;    0,000
318,198;   11,070;   14,327;    0,000
318,217;   26,430;   24,093;    0,000
318,236;    3,180;   -2,427;    0,000
318,255;   -5,110;   -8,807;    0,000
318,274;   14,090;   12,650;    0,000
318,294;  -15,207;  -15,940;    0,000
318,313;   34,383;   35,100;    0,000
318,332;    0,243;   -3,680;    0,000
318,351;    7,820;   15,857;    0,000
318,370;   -7,190;  -11,390;    0,000
318,390;   -4,330;  -11,103;    0,000
318,409;   11,503;    1,293;    0,000
318,428;   -0,863;    1,613;    0,000
318,447;   -1,773;   -4,850;    0,000
318,466;   -5,397;   -8,593;    0,000
318,485;   -5,173;  -15,897;    0,000
318,505;    7,140;    8,697;    0,000
318,524;   -9,530;  -11,680;    0,000
318,543;   17,170;   15,953;    0,000
318,562;    0,580;   -5,913;    0,000
318,581;    4,323;    3,133;    0,000
318,600;    9,393;    4,917;    0,000
318,620;   17,907;   20,793;    0,000
318,639;  -11,990;  -15,693;    0,000
318,658;    8,827;   10,700;    0,000
318,677;    4,177;   -3,943;    0,000
318,696;   10,530;    9,200;    0,000
318,715;   -7,183;  -21,603;    0,000
318,734;   -5,783;    0,017;    0,000
318,753;    6,663;    3,947;    0,000
318,773;    2,830;    5,673;    0,000
318,792;    1,157;   -5,833;    0,000
318,811;   16,797;   13,733;    0,000
318,830;    6,400;   -8,307;    0,000
318,849;    6,690;    6,513;    0,000
318,868;    2,147;   -4,703;    0,000
318,887;   -2,263;   -0,837;    0,000
318,906;   11,353;    4,573;    0,000
318,926;   10,670;   13,797;    0,000
318,945;   -2,063;   -7,523;    0,000
318,964;    6,013;    7,360;    0,000
318,983;    4,770;   -0,340;    0,000
