Na Mättad Integrationstid 300ms
Integration time [ms]: 300,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804350U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

291,522;  -16,288; -136,129;    0,000
291,691;  176,842;   45,026;    0,000
291,860;  -64,585; -166,040;    0,000
292,028;  272,824;  197,866;    0,000
292,197;   47,461;   36,939;    0,000
292,366;   97,115;  -18,127;    0,000
292,534;  -56,513; -163,120;    0,000
292,703; -143,089; -167,080;    0,000
292,871;  196,262;  145,890;    0,000
293,040;   92,409;   11,906;    0,000
293,209;  321,398;  295,949;    0,000
293,377;  -10,461;  -80,088;    0,000
293,546;    9,424;   30,891;    0,000
293,715;  305,755;   52,972;    0,000
293,883;  -39,980; -165,112;    0,000
294,052;   34,720;    1,802;    0,000
294,220;  224,648;   86,881;    0,000
294,389;   80,755;    2,972;    0,000
294,557;  -51,712; -129,169;    0,000
294,726;  -54,706;  -87,115;    0,000
294,895;   82,495;  115,811;    0,000
295,063;  143,631;    2,870;    0,000
295,232; -153,842; -116,175;    0,000
295,400;   77,115;    8,873;    0,000
295,569;   77,349;  -43,206;    0,000
295,737;   71,706;    9,818;    0,000
295,906; -111,487; -178,178;    0,000
296,074;   44,207;  -32,169;    0,000
296,243;  193,588;   52,918;    0,000
296,411;  118,787;   11,818;    0,000
296,580;  123,738;  -54,188;    0,000
296,748;   47,320;  -71,174;    0,000
296,917;  125,919;  -37,149;    0,000
297,085;   71,778;   29,887;    0,000
297,254;   79,605;   76,780;    0,000
297,422;   31,983;   24,840;    0,000
297,591;  125,377;  172,912;    0,000
297,759;  -14,749;  -35,217;    0,000
297,928;   19,369;   11,832;    0,000
298,096;  -43,576; -128,109;    0,000
298,265;   75,836;   10,824;    0,000
298,433;  214,761;  253,876;    0,000
298,601;  -67,611; -139,131;    0,000
298,770;   83,896;   39,787;    0,000
298,938;  145,109;   82,820;    0,000
299,107;   97,916;  -59,176;    0,000
299,275;  -47,231;  -68,193;    0,000
299,443;   -8,885; -126,127;    0,000
299,612;  214,098;  196,862;    0,000
299,780;  143,101;    0,889;    0,000
299,949;  -49,274;  -99,145;    0,000
300,117;  152,418;  121,837;    0,000
300,285;   16,513;  -72,178;    0,000
300,454;  -36,309;  -40,166;    0,000
300,622;    6,213;  -63,116;    0,000
300,790;  174,916;   71,824;    0,000
300,959;  140,242;   45,852;    0,000
301,127;  106,536;   33,886;    0,000
301,296;  126,513;  -11,178;    0,000
301,464;  266,372;  175,858;    0,000
301,632;   97,879;  -49,224;    0,000
301,800;  131,588;   96,918;    0,000
301,969;  -67,118; -120,197;    0,000
302,137;   97,663;  -50,135;    0,000
302,305;   90,239;   38,826;    0,000
302,474;  112,752;   18,797;    0,000
302,642;  233,694;  194,860;    0,000
302,810;   50,328;   -0,094;    0,000
302,979;  237,372;  165,858;    0,000
303,147;  176,271;   12,821;    0,000
303,315;   84,611;  117,833;    0,000
303,483;  100,729;  -35,118;    0,000
303,652;  204,628;   92,844;    0,000
303,820;   31,207;   -5,169;    0,000
303,988;   72,660;   94,839;    0,000
304,156;  118,337;   92,837;    0,000
304,325;   87,873;   32,872;    0,000
304,493;  158,323;   59,853;    0,000
304,661;  -85,268; -276,092;    0,000
304,829;  130,859;  -25,112;    0,000
304,998;  186,706;   66,818;    0,000
305,166;  261,438;  221,875;    0,000
305,334;  200,631;  206,870;    0,000
305,502;  301,789;  115,845;    0,000
305,670;  100,369;   -2,168;    0,000
305,839;    6,689; -191,193;    0,000
306,007;   48,833;    7,797;    0,000
306,175;   10,890;   34,882;    0,000
306,343;  155,343;  106,890;    0,000
306,511;   86,844;   -5,097;    0,000
306,679;  165,083;   54,878;    0,000
306,848;   34,150;   -6,106;    0,000
307,016;  115,075;   51,798;    0,000
307,184;  132,856;   98,861;    0,000
307,352;  141,761;  105,876;    0,000
307,520;  222,170;    0,932;    0,000
307,688;  210,596;   51,849;    0,000
307,856;   -4,919;  -44,148;    0,000
308,024;  -71,516;  -20,146;    0,000
308,193;  -73,288;   18,871;    0,000
308,361;  385,654;  334,785;    0,000
308,529;  194,421;   93,864;    0,000
308,697;  248,236;  164,799;    0,000
308,865;   94,983;    9,840;    0,000
309,033;  -29,787;  -90,116;    0,000
309,201;   -7,193;  -17,145;    0,000
309,369;  217,435;  169,848;    0,000
309,537;  -46,824; -178,164;    0,000
309,705; -126,810;  -90,180;    0,000
309,873;  -58,527;    8,896;    0,000
310,041;  -10,859;  -68,185;    0,000
310,209;   77,176;  -41,164;    0,000
310,377;   43,429;   45,795;    0,000
310,545;   67,717;  -55,225;    0,000
310,713;  100,187;   60,794;    0,000
310,881;  223,726;  227,855;    0,000
311,049;  117,147;    1,868;    0,000
311,217;  -14,098;   -7,160;    0,000
311,385;  -87,502; -143,162;    0,000
311,553;  194,121;  137,926;    0,000
311,721;  152,853;   82,834;    0,000
311,889;  -62,323; -133,151;    0,000
312,057;   24,824;  -91,134;    0,000
312,225;  179,631;  109,870;    0,000
312,393;  175,222;  127,815;    0,000
312,561;  260,106;  224,793;    0,000
312,729;  108,469;   41,721;    0,000
312,897;    8,536;  -26,263;    0,000
313,065;   89,787;   65,818;    0,000
313,233;  -28,058;  -68,234;    0,000
313,401;  -95,165; -113,325;    0,000
313,569; -171,075; -265,096;    0,000
313,737;  134,395;  -84,227;    0,000
313,905;    7,962;  -15,197;    0,000
314,072;   -1,729;  -19,179;    0,000
314,240;   87,556; -115,226;    0,000
314,408;  -33,009;  -72,229;    0,000
314,576;  125,426;  -34,232;    0,000
314,744;   72,458;  -55,237;    0,000
314,912;  -33,409;  -60,204;    0,000
315,080;   20,049;  -25,143;    0,000
315,248;   42,277;  -48,126;    0,000
315,415;   23,190;   35,820;    0,000
315,583;   -8,620;  -74,211;    0,000
315,751;  161,144;  196,841;    0,000
315,919;   39,435;  -83,152;    0,000
316,087;  160,020;   60,888;    0,000
316,255;   23,559;   55,801;    0,000
316,422;   67,735;   17,786;    0,000
316,590;  -21,015; -126,133;    0,000
316,758;   78,052;    8,883;    0,000
316,926;  259,253;  157,810;    0,000
317,094;   12,124;  -37,196;    0,000
317,261;    5,951;  -19,154;    0,000
317,429;  -30,213;  -70,182;    0,000
317,597;  -62,072; -102,218;    0,000
317,765;   71,020;  -48,112;    0,000
317,933;  -68,314; -167,220;    0,000
318,100;  -26,317; -145,246;    0,000
318,268;  -32,948; -113,117;    0,000
318,436;  -20,663;  -66,163;    0,000
318,604;   58,585;  -72,109;    0,000
318,771;   95,236;    2,799;    0,000
318,939;  111,824;   64,866;    0,000
319,107;  312,671;  245,796;    0,000
319,275;  -10,392;  -91,194;    0,000
319,442;  -64,369; -157,130;    0,000
319,610;  128,775;  -23,139;    0,000
319,778;   42,187;   80,794;    0,000
319,945;  132,046;   36,830;    0,000
320,113;  120,700;   40,764;    0,000
320,281;   48,406;    2,880;    0,000
320,448;  189,170;   42,783;    0,000
320,616; -117,553; -252,045;    0,000
320,784;  172,288;   54,831;    0,000
320,951;  106,988;   -0,106;    0,000
321,119;  196,899;   33,813;    0,000
321,287;   44,726;   12,855;    0,000
321,454;  352,565;  254,854;    0,000
321,622;  198,245;   26,879;    0,000
321,790;   31,931;   -9,192;    0,000
321,957;  148,954;  106,872;    0,000
322,125;  -74,467;  -95,141;    0,000
322,292;   -6,026;  -73,091;    0,000
322,460;  -81,819;  -90,111;    0,000
322,628;   50,308;  -61,131;    0,000
322,795;  157,444;   75,928;    0,000
322,963;  -20,395;  -70,220;    0,000
323,130;  161,815;    7,786;    0,000
323,298;  129,470;   94,870;    0,000
323,466;    5,135;  -38,239;    0,000
323,633;  101,464;  -58,184;    0,000
323,801;  -20,199; -126,049;    0,000
323,968;  199,032;  113,846;    0,000
324,136;  -99,432; -192,119;    0,000
324,303; -117,453; -219,157;    0,000
324,471;  -66,963; -186,101;    0,000
324,638;  154,245; -169,121;    0,000
324,806;   81,602;   59,753;    0,000
324,973;  -45,257; -122,134;    0,000
325,141;  208,761;   24,876;    0,000
325,308;  339,582;  152,865;    0,000
325,476;  113,830;   19,770;    0,000
325,643;   36,862;  -64,086;    0,000
325,811;  142,634;  127,897;    0,000
325,978;  226,308;  143,869;    0,000
326,146;  -47,830; -129,217;    0,000
326,313;  110,204;  133,804;    0,000
326,481;  103,161;  108,852;    0,000
326,648;   63,135;  -88,090;    0,000
326,816;   77,619;  -79,236;    0,000
326,983;  142,308;   18,869;    0,000
327,151;   96,772;   37,834;    0,000
327,318;  256,893;  245,909;    0,000
327,486;   18,011;  -93,191;    0,000
327,653;   79,130;  -52,143;    0,000
327,820;   95,913;  -44,203;    0,000
327,988;  214,262;   66,890;    0,000
328,155;  204,504;  129,891;    0,000
328,323;  106,674;  -25,028;    0,000
328,490;  104,585;   50,743;    0,000
328,657;  226,640;  111,950;    0,000
