Na averaging 8
Integration time [ms]: 300,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804350U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

291,522;  -53,601; -136,129;    0,000
291,691;  217,929;   45,026;    0,000
291,860;    1,153; -166,040;    0,000
292,028;  325,871;  197,866;    0,000
292,197;   74,753;   36,939;    0,000
292,366;  162,560;  -18,127;    0,000
292,534;    6,831; -163,120;    0,000
292,703;  -21,361; -167,080;    0,000
292,871;  199,889;  145,890;    0,000
293,040;  123,842;   11,906;    0,000
293,209;  371,475;  295,949;    0,000
293,377;  -31,883;  -80,088;    0,000
293,546;  109,928;   30,891;    0,000
293,715;  259,911;   52,972;    0,000
293,883;  -29,733; -165,112;    0,000
294,052;  109,049;    1,802;    0,000
294,220;  250,371;   86,881;    0,000
294,389;  155,411;    2,972;    0,000
294,557;  -51,908; -129,169;    0,000
294,726;   48,528;  -87,115;    0,000
294,895;  157,481;  115,811;    0,000
295,063;  113,192;    2,870;    0,000
295,232;  -47,808; -116,175;    0,000
295,400;   52,935;    8,873;    0,000
295,569;  144,152;  -43,206;    0,000
295,737;   91,338;    9,818;    0,000
295,906;    3,660; -178,178;    0,000
296,074;   91,760;  -32,169;    0,000
296,243;  237,060;   52,918;    0,000
296,411;  146,545;   11,818;    0,000
296,580;  129,477;  -54,188;    0,000
296,748;   59,856;  -71,174;    0,000
296,917;  137,913;  -37,149;    0,000
297,085;  157,646;   29,887;    0,000
297,254;  186,984;   76,780;    0,000
297,422;   99,567;   24,840;    0,000
297,591;  220,578;  172,912;    0,000
297,759;   48,517;  -35,217;    0,000
297,928;  100,424;   11,832;    0,000
298,096;   26,553; -128,109;    0,000
298,265;  120,363;   10,824;    0,000
298,433;  268,217;  253,876;    0,000
298,601;   51,571; -139,131;    0,000
298,770;   91,674;   39,787;    0,000
298,938;  112,749;   82,820;    0,000
299,107;  109,320;  -59,176;    0,000
299,275;   36,867;  -68,193;    0,000
299,443;  -48,815; -126,127;    0,000
299,612;  284,631;  196,862;    0,000
299,780;  120,474;    0,889;    0,000
299,949;   30,235;  -99,145;    0,000
300,117;  211,367;  121,837;    0,000
300,285;   77,910;  -72,178;    0,000
300,454;  113,128;  -40,166;    0,000
300,622;  129,196;  -63,116;    0,000
300,790;  215,070;   71,824;    0,000
300,959;  149,992;   45,852;    0,000
301,127;  220,649;   33,886;    0,000
301,296;  255,410;  -11,178;    0,000
301,464;  384,142;  175,858;    0,000
301,632;  201,370;  -49,224;    0,000
301,800;  193,685;   96,918;    0,000
301,969;   -7,412; -120,197;    0,000
302,137;  143,331;  -50,135;    0,000
302,305;  118,774;   38,826;    0,000
302,474;  116,563;   18,797;    0,000
302,642;  265,596;  194,860;    0,000
302,810;   95,010;   -0,094;    0,000
302,979;  237,642;  165,858;    0,000
303,147;  184,038;   12,821;    0,000
303,315;  247,045;  117,833;    0,000
303,483;   79,453;  -35,118;    0,000
303,652;  228,849;   92,844;    0,000
303,820;   89,260;   -5,169;    0,000
303,988;  221,113;   94,839;    0,000
304,156;  146,910;   92,837;    0,000
304,325;  151,064;   32,872;    0,000
304,493;  172,949;   59,853;    0,000
304,661;  -68,079; -276,092;    0,000
304,829;  143,728;  -25,112;    0,000
304,998;  199,588;   66,818;    0,000
305,166;  323,139;  221,875;    0,000
305,334;  330,692;  206,870;    0,000
305,502;  241,763;  115,845;    0,000
305,670;  166,924;   -2,168;    0,000
305,839;  -19,965; -191,193;    0,000
306,007;  158,145;    7,797;    0,000
306,175;  100,992;   34,882;    0,000
306,343;  161,721;  106,890;    0,000
306,511;  160,517;   -5,097;    0,000
306,679;  164,671;   54,878;    0,000
306,848;   73,167;   -6,106;    0,000
307,016;  168,392;   51,798;    0,000
307,184;  174,635;   98,861;    0,000
307,352;  216,217;  105,876;    0,000
307,520;  148,439;    0,932;    0,000
307,688;  212,460;   51,849;    0,000
307,856;   44,328;  -44,148;    0,000
308,024;   49,238;  -20,146;    0,000
308,193;   73,024;   18,871;    0,000
308,361;  461,802;  334,785;    0,000
308,529;  188,460;   93,864;    0,000
308,697;  252,181;  164,799;    0,000
308,865;  110,942;    9,840;    0,000
309,033;   38,571;  -90,116;    0,000
309,201;   50,942;  -17,145;    0,000
309,369;  209,921;  169,848;    0,000
309,537;  -20,755; -178,164;    0,000
309,705;  -52,169;  -90,180;    0,000
309,873;   93,371;    8,896;    0,000
310,041;   72,013;  -68,185;    0,000
310,209;  102,745;  -41,164;    0,000
310,377;  182,985;   45,795;    0,000
310,545;  131,456;  -55,225;    0,000
310,713;   96,238;   60,794;    0,000
310,881;  277,360;  227,855;    0,000
311,049;  136,449;    1,868;    0,000
311,217;  -11,265;   -7,160;    0,000
311,385;   -0,676; -143,162;    0,000
311,553;  199,371;  137,926;    0,000
311,721;  201,542;   82,834;    0,000
311,889; -105,583; -133,151;    0,000
312,057;   82,246;  -91,134;    0,000
312,225;  194,067;  109,870;    0,000
312,393;  189,720;  127,815;    0,000
312,561;  349,906;  224,793;    0,000
312,729;  119,023;   41,721;    0,000
312,897;   75,770;  -26,263;    0,000
313,065;  148,420;   65,818;    0,000
313,233;  -38,601;  -68,234;    0,000
313,401;  -21,141; -113,325;    0,000
313,569; -114,026; -265,096;    0,000
313,737;   73,252;  -84,227;    0,000
313,905;  100,045;  -15,197;    0,000
314,072;   82,663;  -19,179;    0,000
314,240;   59,167; -115,226;    0,000
314,408;  -11,408;  -72,229;    0,000
314,576;  182,642;  -34,232;    0,000
314,744;   82,906;  -55,237;    0,000
314,912;   31,399;  -60,204;    0,000
315,080;   63,063;  -25,143;    0,000
315,248;   83,224;  -48,126;    0,000
315,415;   76,206;   35,820;    0,000
315,583;   16,167;  -74,211;    0,000
315,751;  292,981;  196,841;    0,000
315,919;   82,921;  -83,152;    0,000
316,087;  203,017;   60,888;    0,000
316,255;  135,135;   55,801;    0,000
316,422;  127,384;   17,786;    0,000
316,590;   10,410; -126,133;    0,000
316,758;  147,656;    8,883;    0,000
316,926;  210,985;  157,810;    0,000
317,094;   53,710;  -37,196;    0,000
317,261;    1,178;  -19,154;    0,000
317,429;   46,795;  -70,182;    0,000
317,597;   26,688; -102,218;    0,000
317,765;  128,517;  -48,112;    0,000
317,933;  -62,433; -167,220;    0,000
318,100;  -29,776; -145,246;    0,000
318,268;   18,281; -113,117;    0,000
318,436;  100,660;  -66,163;    0,000
318,604;   45,217;  -72,109;    0,000
318,771;  142,806;    2,799;    0,000
318,939;  180,621;   64,866;    0,000
319,107;  350,606;  245,796;    0,000
319,275;   73,077;  -91,194;    0,000
319,442;  -34,308; -157,130;    0,000
319,610;  226,803;  -23,139;    0,000
319,778;  145,113;   80,794;    0,000
319,945;   36,970;   36,830;    0,000
320,113;  135,027;   40,764;    0,000
320,281;  174,874;    2,880;    0,000
320,448;  151,184;   42,783;    0,000
320,616;  -44,582; -252,045;    0,000
320,784;  201,342;   54,831;    0,000
320,951;   96,753;   -0,106;    0,000
321,119;  211,767;   33,813;    0,000
321,287;  134,860;   12,855;    0,000
321,454;  453,196;  254,854;    0,000
321,622;  139,710;   26,879;    0,000
321,790;   69,656;   -9,192;    0,000
321,957;  221,646;  106,872;    0,000
322,125;   26,556;  -95,141;    0,000
322,292;  -10,333;  -73,091;    0,000
322,460;    5,182;  -90,111;    0,000
322,628;   26,864;  -61,131;    0,000
322,795;  263,325;   75,928;    0,000
322,963;   26,859;  -70,220;    0,000
323,130;  138,092;    7,786;    0,000
323,298;  204,528;   94,870;    0,000
323,466;   77,327;  -38,239;    0,000
323,633;  143,967;  -58,184;    0,000
323,801;  -10,240; -126,049;    0,000
323,968;  226,885;  113,846;    0,000
324,136;  -38,586; -192,119;    0,000
324,303;  -48,108; -219,157;    0,000
324,471;   15,446; -186,101;    0,000
324,638;   78,335; -169,121;    0,000
324,806;  163,141;   59,753;    0,000
324,973;   23,164; -122,134;    0,000
325,141;  227,092;   24,876;    0,000
325,308;  354,874;  152,865;    0,000
325,476;  145,552;   19,770;    0,000
325,643;   65,196;  -64,086;    0,000
325,811;  253,410;  127,897;    0,000
325,978;  361,864;  143,869;    0,000
326,146;  -58,316; -129,217;    0,000
326,313;  229,417;  133,804;    0,000
326,481;  180,785;  108,852;    0,000
326,648;   73,082;  -88,090;    0,000
326,816;  117,070;  -79,236;    0,000
326,983;  219,114;   18,869;    0,000
327,151;  177,210;   37,834;    0,000
327,318;  307,085;  245,909;    0,000
327,486;   59,738;  -93,191;    0,000
327,653;  121,396;  -52,143;    0,000
327,820;   99,102;  -44,203;    0,000
327,988;  186,014;   66,890;    0,000
328,155;  279,260;  129,891;    0,000
328,323;  172,203;  -25,028;    0,000
328,490;  224,713;   50,743;    0,000
328,657;  219,971;  111,950;    0,000
328,825;  129,670;   63,818;    0,000
328,992;  318,399;   84,826;    0,000
329,159;  108,567;   19,810;    0,000
329,327;  145,385;  -91,079;    0,000
329,494;  383,092;  238,771;    0,000
329,662;  139,463; -184,152;    0,000
329,829;  543,995; -103,194;    0,000
329,996; 1513,574;   25,898;    0,000
330,164; 4817,742;  -33,163;    0,000
330,331; 8476,806;   70,844;    0,000
330,498; 3560,274;  -75,174;    0,000
330,666;  377,446; -162,131;    0,000
330,833;  143,099;  -24,156;    0,000
331,000;  152,474;   26,784;    0,000
331,167;  197,096;    9,860;    0,000
331,335;   15,652;  -10,191;    0,000
331,502;  290,667;  175,894;    0,000
331,669;  250,606;  139,886;    0,000
331,837;  116,377;  -24,212;    0,000
332,004;  150,038;   90,791;    0,000
332,171;   23,256;  -82,138;    0,000
332,338;  143,363;  -22,161;    0,000
332,506;  307,681;  240,859;    0,000
332,673;  -60,254; -194,134;    0,000
332,840;   60,703;  -66,118;    0,000
333,007;   72,275; -115,054;    0,000
333,175;  195,056;   43,814;    0,000
333,342;  -24,173;  -72,224;    0,000
333,509;   54,124;  -30,120;    0,000
333,676;   69,621;  -43,149;    0,000
333,843; -121,986; -219,125;    0,000
334,011;  103,870;    5,821;    0,000
334,178;   68,178;  -67,124;    0,000
334,345;   65,349;   -7,186;    0,000
334,512;  286,085;  100,804;    0,000
334,679;   57,460;    1,849;    0,000
334,847;    9,292; -142,211;    0,000
335,014;  -29,215; -110,073;    0,000
335,181;  146,763;   36,815;    0,000
335,348;    1,563;  -70,158;    0,000
335,515;  -37,854; -156,113;    0,000
335,682;  230,238;  142,839;    0,000
335,849;  -38,308;  -52,130;    0,000
336,017;  -92,947; -254,169;    0,000
336,184;  -96,358; -280,142;    0,000
336,351;   43,756;  -60,138;    0,000
336,518;  101,767;    9,858;    0,000
336,685;  124,845;    3,830;    0,000
336,852;   77,010;   23,936;    0,000
337,019;  388,728;  405,873;    0,000
337,186;  -15,265; -167,145;    0,000
337,353;  -16,440; -111,097;    0,000
337,520;   31,949;  -69,117;    0,000
337,687;   89,085;   59,864;    0,000
337,854;  106,499;  -22,105;    0,000
338,022;  -40,533; -144,214;    0,000
338,189;  -23,394; -115,189;    0,000
338,356;  163,185;   78,873;    0,000
338,523;  166,256;   96,772;    0,000
338,690;   59,724;   26,859;    0,000
338,857;  142,482;   24,901;    0,000
339,024;   44,131;  -84,123;    0,000
339,191;  257,767;  187,933;    0,000
339,358;   43,056; -170,171;    0,000
339,525;   51,285; -108,178;    0,000
339,692;   38,324;  -30,162;    0,000
339,859;  171,882;   48,907;    0,000
340,026;   66,645;  -80,173;    0,000
340,193;  -57,079; -146,107;    0,000
340,360;   40,107;  -72,099;    0,000
340,527;  385,131;  209,847;    0,000
340,694;   89,542;  -28,091;    0,000
340,861;  -15,562; -105,203;    0,000
341,027;  -49,733; -191,067;    0,000
341,194;  221,221;   86,890;    0,000
341,361;  148,767;    8,933;    0,000
341,528;   32,767;  -31,127;    0,000
341,695;   37,756;  -81,138;    0,000
341,862;  250,106;  154,826;    0,000
342,029;   47,817;  -43,205;    0,000
342,196;  -22,083; -129,211;    0,000
342,363;  241,535;  157,882;    0,000
342,530;    3,496; -140,134;    0,000
342,697;  417,414;  308,866;    0,000
342,863;   83,320;   80,824;    0,000
343,030;   21,270;  -49,218;    0,000
343,197;  308,303;  165,861;    0,000
343,364;  159,953;   77,867;    0,000
343,531;   58,753;  -59,166;    0,000
343,698;  322,199;  259,898;    0,000
343,865;    7,588; -106,242;    0,000
344,031;  -84,351; -183,144;    0,000
344,198;   56,142;  -60,127;    0,000
344,365;  -10,162; -166,167;    0,000
344,532;  -19,340; -151,163;    0,000
344,699;   83,588;  -57,152;    0,000
344,866;  235,635;   72,906;    0,000
345,032;  -67,311; -142,128;    0,000
345,199;  228,506;  113,877;    0,000
345,366;  181,353;   55,873;    0,000
345,533;  -46,740;  -76,109;    0,000
345,699;  141,110;   71,945;    0,000
345,866;   11,717;  -86,094;    0,000
346,033;  103,446;  -71,116;    0,000
346,200;  -87,365; -161,184;    0,000
346,366;  108,192;  -94,220;    0,000
346,533;  -48,179; -219,131;    0,000
346,700;  112,021;   26,842;    0,000
346,867;   37,795;  -31,212;    0,000
347,033;  119,043;  -21,060;    0,000
347,200;  202,195;   87,794;    0,000
347,367;  161,293;   65,940;    0,000
347,534;  272,606;   41,781;    0,000
347,700;  158,171;   67,878;    0,000
347,867;   -4,837;  -86,224;    0,000
348,034;   96,410;   -8,178;    0,000
348,200;   37,888;   21,815;    0,000
348,367;  193,278;   54,930;    0,000
348,534;  124,395;  100,827;    0,000
348,700;   51,481;  -17,114;    0,000
348,867;   64,467;  -17,139;    0,000
349,034;   39,106;  -35,189;    0,000
349,200;   65,906;  -12,132;    0,000
349,367;   52,221;  -34,110;    0,000
349,534;  -70,365; -204,094;    0,000
349,700;  345,010;  272,831;    0,000
349,867;  349,417;  196,849;    0,000
350,033;  169,485;   87,855;    0,000
350,200;    1,246;  -82,089;    0,000
350,367;   69,324;   31,853;    0,000
350,533;  137,795;   16,788;    0,000
350,700;   78,517;   13,798;    0,000
350,866;  128,195;   60,794;    0,000
351,033;  -22,315; -117,112;    0,000
351,200;  124,577;   22,806;    0,000
351,366;  231,992;   99,912;    0,000
351,533;  142,834;   53,729;    0,000
351,699;  128,070;    9,749;    0,000
351,866;  130,681;   51,859;    0,000
352,032;  116,303;   52,831;    0,000
352,199;   30,821; -185,086;    0,000
352,365;  -10,654; -139,095;    0,000
352,532;  -14,205; -106,197;    0,000
352,698;  -22,415; -184,136;    0,000
352,865;   17,324;  -35,192;    0,000
353,031;    0,335; -171,196;    0,000
353,198;  146,163;  102,806;    0,000
353,364;  -90,308; -239,115;    0,000
353,531;   62,952;  -15,194;    0,000
353,697;   26,482;  -64,084;    0,000
353,864;   41,884;  -95,214;    0,000
354,030;   78,789;  -79,119;    0,000
354,197;  206,538;   62,851;    0,000
354,363;  242,310;  151,828;    0,000
354,530;  275,513;  146,860;    0,000
354,696;  136,771;   97,917;    0,000
354,863;   67,981;   -5,204;    0,000
355,029;  302,985;  180,885;    0,000
355,195;  -21,994; -145,168;    0,000
355,362;  112,402;  -71,221;    0,000
355,528;  161,646; -114,158;    0,000
355,695;  221,942;   54,915;    0,000
355,861;  113,570;   86,809;    0,000
356,027;  107,467;   44,861;    0,000
356,194;  107,821;  -67,086;    0,000
356,360;  180,432;  110,934;    0,000
356,527;  340,971;  205,875;    0,000
356,693;  105,849; -113,126;    0,000
356,859;  269,913;   40,821;    0,000
357,026;   49,857; -140,054;    0,000
357,192;  143,110;   -2,145;    0,000
357,358;  220,727; -101,203;    0,000
