Na omättad 1.5ms averaging: 100
Integration time [ms]:   1,500
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804350U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

291,522;    2,329;   -1,484;    0,000
291,691;    6,384;   -3,739;    0,000
291,860;   -0,818;   -5,864;    0,000
292,028;    0,416;   -5,352;    0,000
292,197;   -1,907;   -1,207;    0,000
292,366;    4,435;   -3,051;    0,000
292,534;   -0,993;   -5,749;    0,000
292,703;   -4,862;   -9,007;    0,000
292,871;   10,284;   -4,334;    0,000
293,040;    0,013;   -7,198;    0,000
293,209;    1,676;   -2,821;    0,000
293,377;   -0,614;    0,922;    0,000
293,546;   -3,090;   -1,303;    0,000
293,715;   -0,369;   -6,694;    0,000
293,883;   -1,735;   -0,766;    0,000
294,052;   -7,413;   -9,923;    0,000
294,220;   -0,067;    2,482;    0,000
294,389;    3,431;  -10,594;    0,000
294,557;    1,758;   -6,267;    0,000
294,726;   -1,063;   -1,392;    0,000
294,895;   -3,776;   -9,628;    0,000
295,063;    1,456;   -3,775;    0,000
295,232;    0,875;  -13,616;    0,000
295,400;    2,055;    0,329;    0,000
295,569;   -0,925;   -6,645;    0,000
295,737;   -2,200;   -1,028;    0,000
295,906;    3,221;   -3,611;    0,000
296,074;   -2,675;   -9,197;    0,000
296,243;   -1,994;   -4,230;    0,000
296,411;   -3,197;   -2,418;    0,000
296,580;   -2,647;    2,054;    0,000
296,748;    4,041;   -5,865;    0,000
296,917;   -1,854;   -6,816;    0,000
297,085;   -6,164;   -2,638;    0,000
297,254;   -1,699;    0,352;    0,000
297,422;   -0,168;   -5,142;    0,000
297,591;    7,060;    0,350;    0,000
297,759;    7,645;   -4,842;    0,000
297,928;   -2,089;    4,694;    0,000
298,096;    0,470;    0,547;    0,000
298,265;   -5,477;    1,691;    0,000
298,433;   -2,221;   -4,995;    0,000
298,601;    1,247;    2,673;    0,000
298,770;    2,640;    2,433;    0,000
298,938;   -2,585;   -1,255;    0,000
299,107;   -3,904;   -3,178;    0,000
299,275;   -2,893;    1,885;    0,000
299,443;    4,655;   -9,321;    0,000
299,612;    0,308;   -3,178;    0,000
299,780;   -4,382;   -5,766;    0,000
299,949;    0,776;   -6,429;    0,000
300,117;   -1,329;   -7,257;    0,000
300,285;   -0,309;   -2,421;    0,000
300,454;    6,843;   -6,313;    0,000
300,622;   -8,076;   -3,453;    0,000
300,790;   -5,824;   -4,828;    0,000
300,959;    6,258;    3,417;    0,000
301,127;    5,566;   -0,470;    0,000
301,296;   -7,439;   -0,531;    0,000
301,464;   -2,449;   -8,524;    0,000
301,632;    3,983;   -3,304;    0,000
301,800;    9,196;   -4,520;    0,000
301,969;    4,543;    4,398;    0,000
302,137;   -3,970;   -6,893;    0,000
302,305;    3,268;    3,465;    0,000
302,474;    0,450;   -5,901;    0,000
302,642;   -3,057;    3,129;    0,000
302,810;   -3,420;   -2,249;    0,000
302,979;    4,991;  -11,124;    0,000
303,147;    0,101;    0,787;    0,000
303,315;   -5,130;    5,056;    0,000
303,483;    1,626;   -5,367;    0,000
303,652;  -12,903;   -4,107;    0,000
303,820;   -3,445;   -1,527;    0,000
303,988;   -0,200;    0,875;    0,000
304,156;    1,238;   -3,288;    0,000
304,325;   -2,775;   -5,813;    0,000
304,493;    2,861;   -7,003;    0,000
304,661;    6,845;   -2,085;    0,000
304,829;    0,009;   -3,918;    0,000
304,998;   -3,580;   -2,428;    0,000
305,166;    3,837;   -3,688;    0,000
305,334;    3,256;    4,615;    0,000
305,502;   -3,997;   -1,966;    0,000
305,670;    1,131;    0,504;    0,000
305,839;   -3,206;   -2,355;    0,000
306,007;   -0,117;   -8,111;    0,000
306,175;    4,812;  -13,196;    0,000
306,343;   -1,733;    3,716;    0,000
306,511;    0,492;   -2,093;    0,000
306,679;   -0,829;    0,967;    0,000
306,848;   -3,272;   -3,727;    0,000
307,016;    5,712;    1,681;    0,000
307,184;   -0,701;   -5,080;    0,000
307,352;    0,949;   -2,445;    0,000
307,520;    3,034;   -3,768;    0,000
307,688;   -3,937;   -0,529;    0,000
307,856;   -1,508;   -0,785;    0,000
308,024;   -1,463;   -0,881;    0,000
308,193;   -2,021;   -5,764;    0,000
308,361;    4,651;   -2,629;    0,000
308,529;    2,380;   -7,725;    0,000
308,697;   -1,302;    4,853;    0,000
308,865;    4,752;   -1,922;    0,000
309,033;   -2,996;   -1,543;    0,000
309,201;   -3,981;   -4,089;    0,000
309,369;   -4,743;   -3,860;    0,000
309,537;    0,262;  -12,729;    0,000
309,705;   -5,762;    7,506;    0,000
309,873;   -2,120;   -7,044;    0,000
310,041;   -0,861;   -2,913;    0,000
310,209;    7,142;   -6,209;    0,000
310,377;    2,268;   -4,654;    0,000
310,545;   -2,493;   -1,105;    0,000
310,713;   -6,881;   -4,766;    0,000
310,881;    6,736;   -3,489;    0,000
311,049;    7,228;    1,581;    0,000
311,217;    4,289;   -4,213;    0,000
311,385;   -3,286;   -2,146;    0,000
311,553;   11,854;   -1,097;    0,000
