VäteMätning1
Integration time [ms]: 150,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804350U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

291,522;  -70,912;  -59,275;    0,000
291,691;   69,482;   46,275;    0,000
291,860;  -65,429;  -40,361;    0,000
292,028;  145,972;  111,430;    0,000
292,197;   -4,496;  -34,241;    0,000
292,366;   32,994;   28,223;    0,000
292,534;  -24,682;  -49,784;    0,000
292,703;  -86,656;  -68,022;    0,000
292,871;   82,148;   50,207;    0,000
293,040;   22,901;   16,491;    0,000
293,209;  162,937;  149,349;    0,000
293,377;  -70,180;  -62,415;    0,000
293,546;   20,851;   -2,894;    0,000
293,715;   56,511;   65,827;    0,000
293,883;  -58,956;  -61,992;    0,000
294,052;   17,967;  -35,908;    0,000
294,220;  110,820;   97,115;    0,000
294,389;    2,011;    5,027;    0,000
294,557;  -45,139;  -74,337;    0,000
294,726;  -30,969;  -31,288;    0,000
294,895;   39,397;   32,383;    0,000
295,063;   15,986;    8,925;    0,000
295,232;  -45,658;  -75,631;    0,000
295,400;  -16,606;    4,023;    0,000
295,569;   15,144;   17,199;    0,000
295,737;   30,018;    6,576;    0,000
295,906;  -37,369;  -35,228;    0,000
296,074;   -7,140;    3,964;    0,000
296,243;   82,738;   49,479;    0,000
296,411;   18,219;   14,676;    0,000
296,580;   28,801;   31,181;    0,000
296,748;  -11,355;   -5,832;    0,000
296,917;   53,523;   40,544;    0,000
297,085;   31,540;   34,209;    0,000
297,254;   55,197;   46,413;    0,000
297,422;   11,690;   -7,246;    0,000
297,591;   54,718;   39,886;    0,000
297,759;   -5,592;  -13,190;    0,000
297,928;   45,163;    3,563;    0,000
298,096;  -69,949;  -45,894;    0,000
298,265;   18,137;   -0,029;    0,000
298,433;   88,905;   77,020;    0,000
298,601;   15,382;  -27,273;    0,000
298,770;    2,019;   15,806;    0,000
298,938;   22,824;   16,774;    0,000
299,107;  -10,862;    8,170;    0,000
299,275;  -34,315;  -19,414;    0,000
299,443;  -64,606;  -71,777;    0,000
299,612;   90,460;   42,433;    0,000
299,780;   17,345;    3,008;    0,000
299,949;  -38,163;  -41,660;    0,000
300,117;   70,181;   42,357;    0,000
300,285;    0,531;   16,772;    0,000
300,454;  -14,632;   -0,539;    0,000
300,622;   16,130;  -20,788;    0,000
300,790;   63,838;   71,170;    0,000
300,959;   11,129;   33,943;    0,000
301,127;   21,336;   34,010;    0,000
301,296;   54,031;   35,672;    0,000
301,464;  100,248;  129,637;    0,000
301,632;   39,485;   33,617;    0,000
301,800;   28,238;   23,779;    0,000
301,969;  -73,530;  -45,209;    0,000
302,137;   23,670;   19,130;    0,000
302,305;   16,944;   14,769;    0,000
302,474;   13,651;   19,297;    0,000
302,642;   90,153;   69,635;    0,000
302,810;    3,700;    3,391;    0,000
302,979;   86,248;   92,937;    0,000
303,147;   40,927;   45,774;    0,000
303,315;   53,967;   90,462;    0,000
303,483;    9,122;  -18,485;    0,000
303,652;   81,701;   63,851;    0,000
303,820;    6,760;   -7,436;    0,000
303,988;   42,385;   65,656;    0,000
304,156;   66,779;   33,958;    0,000
304,325;   13,690;   30,624;    0,000
304,493;   45,530;   41,642;    0,000
304,661;  -77,893;  -73,011;    0,000
304,829;   20,741;   42,209;    0,000
304,998;   68,718;   58,276;    0,000
305,166;   73,400;  118,721;    0,000
305,334;  114,986;   79,625;    0,000
305,502;   79,904;   68,850;    0,000
305,670;   48,963;   45,463;    0,000
