Integrationstid 1s
Integration time [ms]: 1000,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804350U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

291,522; -443,596; -434,233;    0,000
291,691;  269,838;  214,687;    0,000
291,860; -368,486; -404,623;    0,000
292,028;  550,124;  543,187;    0,000
292,197; -133,643;  -93,331;    0,000
292,366;  201,641;  209,157;    0,000
292,534; -197,035; -216,075;    0,000
292,703; -406,364; -425,448;    0,000
292,871;   90,325;   64,884;    0,000
293,040;   -6,590;   25,010;    0,000
293,209;  719,932;  690,224;    0,000
293,377; -326,088; -357,816;    0,000
293,546;  -23,860;  -49,720;    0,000
293,715;  269,126;  230,122;    0,000
293,883; -272,096; -276,311;    0,000
294,052;  125,630;  103,870;    0,000
294,220;  244,180;  216,321;    0,000
294,389;   18,126;   26,322;    0,000
294,557; -389,067; -396,460;    0,000
294,726; -124,562; -101,494;    0,000
294,895;   12,191;   55,628;    0,000
295,063;  -75,403;  -79,632;    0,000
295,232; -485,969; -495,634;    0,000
295,400;   29,641;   24,357;    0,000
295,569;   -0,094;  -22,098;    0,000
295,737;  -10,100;   -6,600;    0,000
295,906; -254,627; -250,219;    0,000
296,074;   15,526;   11,742;    0,000
296,243;  168,807;  155,360;    0,000
296,411;  179,307;  153,798;    0,000
296,580;   83,612;   42,023;    0,000
296,748;  -39,754;  -73,638;    0,000
296,917;  186,862;  169,455;    0,000
297,085;  135,682;  182,295;    0,000
297,254;  301,658;  285,566;    0,000
297,422;  120,887;   69,900;    0,000
297,591;  132,497;  111,188;    0,000
297,759;  -88,684;  -91,049;    0,000
297,928;   84,941;   69,138;    0,000
298,096; -237,460; -229,720;    0,000
298,265;  189,802;  106,374;    0,000
298,433;  351,099;  280,342;    0,000
298,601; -128,225; -128,626;    0,000
298,770;  104,175;   85,536;    0,000
298,938;  107,336;   82,591;    0,000
299,107;  -32,991;  -86,228;    0,000
299,275;  -72,275; -119,355;    0,000
299,443; -361,359; -387,643;    0,000
299,612;  218,259;  220,404;    0,000
299,780;  -22,089;   -5,912;    0,000
299,949; -200,065; -212,764;    0,000
300,117;  335,636;  327,513;    0,000
300,285;  -44,627;  -43,219;    0,000
300,454;   32,970;   30,530;    0,000
300,622;   29,431;   38,908;    0,000
300,790;  349,409;  392,972;    0,000
300,959;  -39,509;  -24,152;    0,000
301,127;   49,060;   34,501;    0,000
301,296;  253,773;  285,981;    0,000
301,464;  747,193;  694,021;    0,000
301,632;   52,792;  123,583;    0,000
301,800;   88,207;   84,960;    0,000
301,969; -327,555; -292,934;    0,000
302,137;  108,710;  109,591;    0,000
302,305;   87,039;   99,564;    0,000
302,474;   43,143;   77,492;    0,000
302,642;  463,622;  413,214;    0,000
302,810;   60,803;   43,012;    0,000
302,979;  169,993;  149,621;    0,000
303,147;  123,351;  121,187;    0,000
303,315;  463,363;  458,132;    0,000
303,483;   23,187;    2,320;    0,000
303,652;  150,945;  195,685;    0,000
303,820;  -73,874;  -88,258;    0,000
303,988;  299,857;  326,508;    0,000
304,156;  216,228;  199,115;    0,000
304,325;  142,019;  107,563;    0,000
304,493;   96,698;  107,246;    0,000
304,661; -449,561; -484,397;    0,000
304,829;  188,489;  202,093;    0,000
304,998;  250,900;  200,000;    0,000
305,166;  282,070;  291,550;    0,000
305,334;  505,397;  462,968;    0,000
305,502;  630,960;  567,281;    0,000
305,670;   82,941;   91,738;    0,000
305,839; -220,882; -287,953;    0,000
306,007;  239,350;  221,690;    0,000
306,175;   87,601;   91,316;    0,000
306,343;  105,533;  105,082;    0,000
306,511;  167,559;  121,024;    0,000
306,679;  148,928;  177,935;    0,000
306,848;   37,006;   21,463;    0,000
307,016;  102,372;   97,885;    0,000
307,184;  102,437;  111,010;    0,000
307,352;  207,499;  246,142;    0,000
307,520;  128,840;  109,499;    0,000
307,688;  226,432;  166,863;    0,000
307,856;  -61,124;  -48,749;    0,000
308,024; -210,487; -200,758;    0,000
308,193;  -60,396;  -24,633;    0,000
308,361;  348,553;  383,541;    0,000
